index,Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,Month,Year,VWAP,Day_Perc_Change,Trend
120,NCC,EQ,2017-11-01,108.85,109.6,114.0,109.2,112.5,112.5,112.3,9450357,1061317876.15,39907,3181712,33.67,11,2017,1058754995.9000001,3.353238401469927,Among top gainers
121,NCC,EQ,2017-11-02,112.5,112.8,112.8,109.0,110.0,109.75,110.51,3314970,366346983.4,19631,1148035,34.63,11,2017,370558396.50000006,-2.444444444444449,Negative
122,NCC,EQ,2017-11-03,109.75,109.8,111.45,108.0,108.7,108.8,109.44,2806545,307143802.6,13095,828507,29.52,11,2017,308766725.75,-0.8656036446469284,Slight negative
123,NCC,EQ,2017-11-06,108.8,109.5,111.35,107.15,107.6,107.75,109.16,3610954,394167697.75,16548,1387046,38.41,11,2017,395519828.1333334,-0.965073529411764,Slight negative
124,NCC,EQ,2017-11-07,107.75,108.3,109.35,102.35,104.15,104.1,104.88,3942844,413539206.65,17060,1352678,34.31,11,2017,422870019.0,-3.38747099767982,Among top losers
125,NCC,EQ,2017-11-08,104.1,104.1,106.35,101.5,104.5,103.85,103.82,4737687,491844202.95,18529,1920765,40.54,11,2017,496351674.6999999,-0.24015369836695166,Slight or No change
126,NCC,EQ,2017-11-09,103.85,104.8,106.0,101.8,102.35,102.45,103.0,4530111,466610090.55,9740,2490816,54.98,11,2017,473019090.25,-1.3480982185844925,Negative
127,NCC,EQ,2017-11-10,102.45,102.15,103.9,101.1,103.15,102.95,102.88,2775380,285526092.55,10717,720788,25.97,11,2017,285864140.0,0.48804294777939905,Slight or No change
128,NCC,EQ,2017-11-13,102.95,103.5,105.4,102.0,103.6,103.7,104.31,4816755,502424277.5,18274,1699212,35.28,11,2017,501905871.0,0.7285089849441428,Slight positive
129,NCC,EQ,2017-11-14,103.7,103.95,104.9,95.1,96.0,95.9,99.26,11945113,1185710863.85,43849,2958232,24.77,11,2017,1213424395.5833333,-7.521697203471545,Bear drop
130,NCC,EQ,2017-11-15,95.9,95.0,101.45,95.0,100.8,100.3,98.46,7771991,765234146.55,30444,1469391,18.91,11,2017,768779443.0833334,4.588112617309692,Among top gainers
131,NCC,EQ,2017-11-16,100.3,101.6,104.25,101.45,102.9,102.75,102.98,6374869,656494241.95,27252,2298996,36.06,11,2017,655761524.4666667,2.4426719840478617,Positive
132,NCC,EQ,2017-11-17,102.75,103.7,105.7,103.45,104.25,104.3,104.48,4927545,514842804.4,26333,2097797,42.57,11,2017,515256955.5,1.508515815085154,Positive
133,NCC,EQ,2017-11-20,104.3,104.7,106.4,102.5,106.2,105.25,104.38,2241884,234008957.95,9452,585809,26.13,11,2017,236406667.8,0.9108341323106561,Slight positive
134,NCC,EQ,2017-11-21,105.25,107.0,109.55,105.85,107.9,107.8,108.06,5476883,591849960.7,20980,1586719,28.97,11,2017,592142333.6833334,2.422802850356298,Positive
